GEO_NAME,latitude,longitude,C1_COUNT_TOTAL,cluster,distance_to_ems
"Barrington, Municipal district (MD)",43.64389006997893,-65.58084197925176,6523,20,2.2321231858861803
"Clark's Harbour, Town (T)",43.447297434868034,-65.63654775291435,725,20,20.084275584097657
"Shelburne, Municipal district (MD)",43.877497358091986,-65.28968799025236,4336,2,4.494272987431643
"Shelburne, Town (T)",43.770295415795125,-65.31890642264459,1644,2,7.9412816632250145
"Lockeport, Town (T)",43.70192418872189,-65.1182362763485,476,2,20.11587127666632
"Argyle, Municipal district (MD)",43.92662092653887,-65.71760926031237,7870,13,17.972984654754125
"Yarmouth, Municipal district (MD)",43.955529051414025,-66.00101740842786,10067,13,6.70706423309854
"Yarmouth, Town (T)",43.837664409455265,-66.1071110995519,6829,13,15.730793032101612
"Yarmouth 33, Indian reserve (IRI)",43.83600886517303,-66.081896364643,181,13,14.175112006604468
"Clare, Municipal district (MD)",44.21447935218582,-66.0006033041922,7678,23,0.0
"Digby, Municipal district (MD)",44.40204860767803,-65.72237758721782,7242,9,0.0
"Digby, Town (T)",44.62389567184244,-65.76136266868987,2001,33,24.68344214791584
"Bear River (Part) 6, Indian reserve (IRI)",44.54963618678571,-65.62099090122477,141,33,19.158463686087412
"Medway River 11, Indian reserve (IRI)",44.268113825903235,-64.84251859117181,15,15,13.825572498307
"Ponhook Lake 10, Indian reserve (IRI)",44.16794936922141,-64.99714714629454,15,15,2.845485653315703
"Queens, Regional municipality (RGM)",44.1811527166297,-64.96680771985645,10422,15,0.01594165524819378
"Wildcat 12, Indian reserve (IRI)",44.353994666890245,-64.92020510313732,49,6,30.04927260352299
"Annapolis, Subd. D, Subdivision of county municipality (SC)",44.618161056599654,-65.16437158071518,3049,33,24.180798876493043
"Annapolis, Subd. A, Subdivision of county municipality (SC)",44.72249654760313,-65.4984876211086,5980,33,5.933395635858325
"Bear River 6B, Indian reserve (IRI)",44.705927038240816,-65.50196280410883,15,33,4.68080504643486
"Annapolis Royal, Town (T)",44.74310779412049,-65.5115672077964,530,33,8.43045957188473
"Annapolis, Subd. B, Subdivision of county municipality (SC)",44.861839079786314,-65.2304293166785,4587,19,10.018103751884038
"Annapolis, Subd. C, Subdivision of county municipality (SC)",44.962156159171975,-65.0693715090891,5218,19,6.8775322512918375
"Middleton, Town (T)",44.944686887008956,-65.0732005324087,1873,19,5.468884321822204
"Lunenburg, Municipal district (MD)",44.43202211670969,-64.59025613403603,25545,6,3.4093357413942
"Bridgewater, Town (T)",44.382263394619706,-64.52512279699287,8790,6,4.466520892732748
"Lunenburg, Town (T)",44.37688890011922,-64.31962929826751,2396,6,19.046413689042023
"Mahone Bay, Town (T)",44.44765913264441,-64.38276749184557,1064,6,13.899761832192741
"Chester, Municipal district (MD)",44.67722112755853,-64.35252607236673,10693,22,0.07238483883699254
"Gold River 21, Indian reserve (IRI)",44.558072125063596,-64.34421213496172,81,22,13.208380268364023
"Pennal 19, Indian reserve (IRI)",44.794775510320385,-64.43524849331419,30,22,14.683641260493244
"Kings, Subd. A, Subdivision of county municipality (SC)",44.95940023340247,-64.75583282994057,22355,4,4.920627475016073
"Annapolis Valley First Nation, Indian reserve (IRI)",45.0682736874264,-64.65099979381107,743,14,17.154364758343206
"Berwick, Town (T)",45.04807507667779,-64.7338157057251,2455,4,9.72955013342013
"Kings, Subd. C, Subdivision of county municipality (SC)",44.95661655365237,-64.51608765530828,8348,4,14.018890403416455
"Kentville, Town (T)",45.07205627894064,-64.51683901807753,6630,14,7.421595412868168
"Kings, Subd. B, Subdivision of county municipality (SC)",45.182053248465344,-64.46647595967315,11951,14,7.971457831153013
"Kings, Subd. D, Subdivision of county municipality (SC)",45.034098648737206,-64.33878687107877,5264,14,11.888155843808232
"Wolfville, Town (T)",45.08945122433105,-64.36080837373413,5057,14,6.845632987203832
"Glooscap 35, Indian reserve (IRI)",45.04202185898313,-64.23771531677667,111,18,12.480995931302836
"West Hants, Rural municipality (RM)",44.96970195786952,-64.11512670626222,19509,18,0.07103933148662608
"East Hants, Municipal district (MD)",45.09868739790781,-63.70148671693974,22892,10,3.2705318599890565
"Indian Brook 14, Indian reserve (IRI)",45.08941131774453,-63.48914283983631,2739,10,13.44871096498239
"Cole Harbour 30, Indian reserve (IRI)",44.64990593006995,-63.4832508613672,208,0,35.66732483119366
"Halifax, Regional municipality (RGM)",44.86665974975977,-63.15001722702976,439819,0,0.014447440986738828
"Beaver Lake 17, Indian reserve (IRI)",45.02293232149758,-62.760667153092214,20,0,35.24061778455337
"Sheet Harbour 36, Indian reserve (IRI)",44.91414205079564,-62.54898290760486,10,0,47.65208097145266
"Wallace Hills 14A, Indian reserve (IRI)",44.732041390010814,-63.79736489463545,15,22,44.25682289897719
"Colchester, Subd. C, Subdivision of county municipality (SC)",45.25626235434808,-63.131274069686604,12476,16,7.191529919593913
"Stewiacke, Town (T)",45.13335010549164,-63.34790005454361,1557,10,24.760971192934573
"Millbrook 27, Indian reserve (IRI)",45.331605396113254,-63.300515311795124,921,16,8.71928480175691
"Truro, Town (T)",45.341369357521515,-63.25499395308357,12954,16,6.345598857266674
"Colchester, Subd. B, Subdivision of county municipality (SC)",45.549000090167056,-63.26512021212877,19806,5,0.0
